,Heading,Article,Date
164,Ingraham Guest Says ‘No Reason Whatsoever’ For Ukrainian Refugees To Come To U.S.,"“They're doing great for a group of war refugees.""",2022-03-26
165,New York City To Let Unvaccinated Athletes Play Home Games,The city's vaccine mandate will still apply for workers in other jobs.,2022-03-24
166,Moderna Says Its Low-Dose COVID Shots Work For Kids Under 6,The nation’s 18 million children under 5 are the only age group not yet eligible for vaccination.,2022-03-23
167,FBI Sees Growing Russian Hacker Interest In U.S. Energy Firms,The warning highlights the White House's heightened cybersecurity concerns due to the ongoing war in Ukraine.,2022-03-23
168,Spring Break Shootings: Miami Beach Emergency Brings Curfew,"Five people were shot over the weekend, the Miami Beach mayor said.",2022-03-22
169,See The Moment Man Is Rescued From Underground Storm Pipe After 2 Days,Passersby heard the man screaming from inside the pizza-sized pipe.,2022-03-22
170,Closing Arguments Set In 'Cowboys For Trump' Founder Jan. 6 Trial,"Couy Griffin, an elected official from New Mexico, is the second person tried on charges stemming from the U.S. Capitol riot.",2022-03-22
171,Biden Urges Companies To Prepare For Potential Russian Cyberattacks,Biden said Russia could launch an cyberattack against U.S. targets as retaliation for “the unprecedented economic costs we’ve imposed” on the country.,2022-03-21
172,4 U.S. Troops Killed In Plane Crash During NATO Exercise,The annual NATO drills in Norway are unrelated to the war in Ukraine.,2022-03-19
173,"9 Dead, 2 Injured In Fiery Crash Involving University Of The Southwest Golf Teams",Two Canadian students were also hospitalized in critical condition.,2022-03-17
174,Fewer Americans File For Jobless Claims Last Week,"Jobless claims fell by 15,000 to 214,000 for the week ending March 12, down from the previous week's 229,000.",2022-03-17
175,Bomb-Threatened Black Schools Eligible For Security Grants,The funding will be provided under the Project School Emergency Response to Violence program to improve campus security and access to mental health resources.,2022-03-16
176,"No Charges Against Chicago Police Officers In Deaths Of Adam Toledo, Anthony Alvarez",Cook County State’s Attorney Kim Foxx said there was insufficient evidence to charge the officers.,2022-03-15
177,U.S. Astronaut To Return On Russian Capsule Despite Heightened Tensions Over War,"NASA insists Mark Vande Hei’s homecoming plans remain unchanged, even as Russia’s invasion of Ukraine has seen canceled launches and broken contracts.",2022-03-15
178,Stocks Sway On Wall Street As Oil Slides To $100 Per Barrel,Markets have careened in recent weeks amid uncertainty about whether the economy may be heading for a toxic combination of stagnating growth and persistently high inflation.,2022-03-14
179,"Breonna Taylor’s Family, Supporters Sustain Push For Justice",Breonna Taylor’s family has joined with demonstrators and other supporters to honor the two-year anniversary of the Black woman’s death in a botched police raid.,2022-03-14
180,"Census: Black Population Grows In Suburbs, Shrinks In Cities","For decades, Black residents have been leaving some of the nation's largest cities while suburbs have seen Black population growth.",2022-03-13
181,Average U.S. Gas Price Rises 22% In Two Weeks To Record $4.43,The price at the pump is $1.54 higher than it was a year ago.,2022-03-13
182,2 Women Dead After Car Crashes Into D.C. Restaurant's Outdoor Patio,Six others were injured in the accident at Greek restaurant Parthenon.,2022-03-12
183,Alec Baldwin Denies Responsibility For Fatal 'Rust' Shooting In New Court Filing,Baldwin fatally shot cinematographer Halyna Hutchins when the prop gun he was using turned out to have live rounds in it.,2022-03-11
184,U.S. Inflation Sets A Fresh 40-Year High Over Past Year,"Propelled by surging costs for gas, food and housing, consumer inflation jumped 7.9% over the past year, the sharpest spike since 1982 and likely only a harbinger of even higher prices to come.",2022-03-10
185,Top Lawmakers Reach Deal On Ukraine Aid As Part Of $1.5 Trillion Spending,Congressional leaders reached a bipartisan deal to provide $13.6 billion to help Ukraine fend off its invasion by Russia and assist European allies coping with refugees.,2022-03-09
186,"Congress Passes Bill To Shore Up Postal Service, Delivery",The long-fought postal overhaul has been years in the making and comes amid widespread complaints about mail service slowdowns.,2022-03-09
187,Minneapolis Teachers Strike After Failing To Reach Contract,Teachers in the neighboring St. Paul School District announced a tentative agreement late Monday night to avert a strike that had also been scheduled to start Tuesday.,2022-03-08
188,4 Of 7 Killed In Iowa Tornadoes From Same Family: Sheriff,"Two children, their father and their grandmother all died Saturday when a tornado hit the grandparents’ home near rural Winterset that didn’t have a basement.",2022-03-07
189,"Former NY Gov. Andrew Cuomo Rips 'Cancel Culture,' Hints At Political Comeback",Cuomo resigned after an independent probe found he sexually harassed nearly a dozen women and that he and aides worked to retaliate against an accuser.,2022-03-07
190,"NYC Sheds Vaccination Mandate, School Masks Precautions","""We did our job as New Yorkers and now we’re winning,"" the mayor said on TV station NY1.",2022-03-07
191,TikTok Bans New Videos Made In Russia Over Putin's Anti-'Fake News' Law,The app responded to Russian President Vladimir Putin enacting a law that bans anything he deems to be misinformation about the country's invasion of Ukraine.,2022-03-06
192,"SUV Smashes Into California Preschool, Injuring 19 Children And 1 Employee","None of the injuries were life-threatening, police said.",2022-03-04
193,"NJ Fines DraftKings $150,000 For Allowing Proxy Betting","New Jersey gambling regulators have fined DraftKings $150,000 for allowing a Florida man to make online sports bets from his home.",2022-03-04
194,Supreme Court Sides With Government In Gitmo State Secrets Case,The Supreme Court has ruled for the U.S. government in a case involving a Guantanamo Bay detainee seeking what the government said is secret information.,2022-03-03
195,"Purdue Pharma, US States Agree To New Opioid Settlement","States agreed to sign on after the Sacklers kicked in more cash and accepted other terms, including apologizing.",2022-03-03
196,States Launch Probe Into TikTok's Effect On Kids' Health,State attorneys general have launched a nationwide investigation into TikTok and its possible harmful effects on young users’ mental health.,2022-03-03
197,"Manchin Fans Faint Hopes For Stalled Social, Climate Bill",Pivotal Sen. Joe Manchin has floated the broad outlines of a reconfigured social and environment package that aims half its resources at reducing federal deficits.,2022-03-03
198,"Helmet Worn By Amelia Earhart Sells For $825,000 At Auction",Earhart was just a passenger in June 1928 when she became the first woman on board a plane crossing the Atlantic.,2022-03-02
199,"Stocks Fall, Oil Tops $100 A Barrel As Ukraine War Rages",Stocks fell as soaring oil prices raised more concerns about how Russia’s escalating war on Ukraine may impact the global economy.,2022-03-02
200,CDC Estimates More Than 140 Million Americans Have Had COVID So Far,Nearly 60% of children in the U.S. have likely had the disease.,2022-03-01
201,Capitol Police Fence Off Capitol Ahead of Biden's First State Of The Union,Capitol Police are stepping up security for Tuesday's address and the approach of protesting truckers.,2022-02-28
202,Many Capitol Riot Cases Could Hinge On 1st Trial's Outcome,"The trial of a Texas man charged in the Jan. 6, 2021 attack could be a bellwether for the hundreds of other related cases.",2022-02-28
203,Screen Actors Guild Awards To Offer Oscars Preview,"The 28th Screen Actors Guild Awards will kick off with a “Hamilton” reunion, feature a lifetime achievement award for Helen Mirren and, maybe, supply a preview of the upcoming Academy Awards.",2022-02-27
204,Detroit Zoo Moves Birds Inside Over Avian Flu Outbreak In Michigan,"Most of the birds, including the peacocks who normally roam freely, will be sequestered inside due to worries over a deadly strain of avian flu.",2022-02-26
205,MLB 4 Days From Deadline To Cancel Games And Shorten Season,"Both sides agreed to meet again Friday, which will be the fifth straight day of bargaining and the 11th on core economics since the lockout started Dec. 2.",2022-02-25
206,Raw Sewage Spill Shuts Down Beaches In Southern California,"Authorities say a stretch of Southern California beach is closed to swimmers and surfers after up to 50,000 gallons of raw sewage spilled into nearby waters.",2022-02-22
207,3 Cops' Trial In Floyd Killing Heads To Closing Arguments,The federal trial of three former Minneapolis police officers charged with violating George Floyd's civil rights is headed to closing arguments.,2022-02-22
208,Michigan Basketball Coach Strikes Wisconsin Assistant In Dust-up After Tough Loss,"Wolverines coach Juwan Howard, who was upset about Wisconsin's final-seconds timeout, said he thought it was ""time to protect myself.""",2022-02-21
209,Closing Arguments Begin In Hate Crimes Trial Of Men Who Killed Ahmaud Arbery,A jury in Georgia is hearing arguments from prosecutors and defense attorneys on whether the 2020 killing of Ahmaud Arbery was a federal hate crime.,2022-02-21
210,"Police Helicopter Crash Kills 1 Officer, Injures Another At California Beach",The deadly crash came just hours after a separate helicopter crash along a packed beach in Miami.,2022-02-20
211,19 Austin Police Officers Reportedly Indicted Over Racial Injustice Protests,"The officers face charges of aggravated assault with a deadly weapon for their actions during the protests after the killing of George Floyd, sources said.",2022-02-18
212,U.S. Paves Way For Resumption Of Mexico Avocado Exports,"Peru, Colombia and Chile already ship avocados to the United States, but in quantities that are only a tiny fraction of Mexico’s production. That may change.",2022-02-18
213,National Guard Deploys For New Emergency: Teacher Shortages,Dozens of National Guard Army and Air Force troops in New Mexico have been stepping in to fill a shortage of teachers due to the surge in omicron infections.,2022-02-17
